current_shirt_number,firstname,lastname,int_goals,int_caps,main_position,other_position,current_market_value,highest_market_value,highest_market_value_on,date_of_birth,place_of_birth,country_of_birth,height,citizenship,dominant_foot,current_club,joined_on,contract_expiring,last_extension,transfer_history,valuation
#3,Paul,Dummett,0,5,Left-Back,,€1.50m,€7.00m,"Sep 12, 2019","Sep 26, 1991",Newcastle upon Tyne,England,183,"Wales,England",left,Newcastle United,"Jul 1, 2012","Jun 30, 2023","May 5, 2022","{'season': ['12/13', '12/13', '12/13', '12/13', '12/13', '11/12', '11/12', '10/11'], 'transfer_date': ['May 31, 2013', 'Jan 31, 2013', 'Jan 4, 2013', 'Aug 31, 2012', 'Jul 1, 2012', 'May 1, 2012', 'Mar 1, 2012', 'Jul 1, 2010'], 'leaving_club': ['St. Mirren', 'Newcastle', 'St. Mirren', 'Newcastle', 'Newcastle U21', 'Gateshead', 'Newcastle Res.', 'Newcastle U18'], 'joining_club': ['Newcastle', 'St. Mirren', 'Newcastle', 'St. Mirren', 'Newcastle', 'Newcastle Res.', 'Gateshead', 'Newcastle Res.'], 'market_value': ['€200Th.', '-', '€50Th.', '-', '-', '-', '-', '-'], 'fee': ['End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', 'End of loan', 'loan transfer', '-']}","{'club': ['St. Mirren FC', 'Newcastle United', 'St. Mirren FC', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є50Th.', 'x2D', 'Є200Th.', 'Є750Th.', 'Є1.50m', 'Є2.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є3.50m', 'Є5.00m', 'Є7.00m', 'Є7.00m', 'Є5.50m', 'Є4.50m', 'Є4.00m', 'Є3.00m', 'Є2.00m', 'Є1.50m'], 'age': ['20', '21', '21', '22', '22', '23', '23', '24', '24', '25', '25', '26', '26', '27', '27', '27', '28', '28', '29', '29', '29', '30', '30'], 'date': ['Sep 17', 'Jan 7', 'Feb 14', 'Mar 28', 'Aug 12', 'Feb 12', 'Jul 1', 'Feb 9', 'Sep 1', 'Feb 27', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Sep 12', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2012', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#12,Jamal,Lewis,0,23,Left-Back,,€10.00m,€17.00m,"Mar 18, 2021","Jan 25, 1998",Luton,England,178,"Northern Ireland,England",left,Newcastle United,"Sep 8, 2020","Jun 30, 2025",unknown,"{'season': ['20/21', '17/18', '15/16'], 'transfer_date': ['Sep 8, 2020', 'Jan 1, 2018', 'Jan 1, 2016'], 'leaving_club': ['Norwich', 'Norwich U21', 'Norwich U18'], 'joining_club': ['Newcastle', 'Norwich', 'Norwich U21'], 'market_value': ['€11.00m', '-', '-'], 'fee': ['€16.50m', '-', '-']}","{'club': ['Norwich City', 'Norwich City', 'Norwich City', 'Norwich City', 'Norwich City', 'Norwich City', 'Norwich City', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є250Th.', 'Є1.00m', 'Є4.00m', 'Є5.00m', 'Є9.00m', 'Є12.00m', 'Є11.00m', 'Є15.00m', 'Є17.00m', 'Є15.00m', 'Є12.00m', 'Є10.00m', 'Є10.00m'], 'age': ['20', '20', '21', '21', '21', '21', '22', '22', '23', '23', '23', '23', '24'], 'date': ['Feb 27', 'Sep 24', 'Feb 27', 'Jun 28', 'Sep 12', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Oct 5', 'Dec 23', 'Jun 15'], 'year': ['2018', '2018', '2019', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2021', '2022']}"
#13,Matt,Targett,0,13,Left-Back,,€17.00m,€17.00m,"Mar 18, 2021","Sep 18, 1995",Eastleigh,England,183,"England,Scotland",left,Newcastle United,"Jul 1, 2022","Jun 30, 2026",unknown,"{'season': ['22/23', '21/22', '21/22', '19/20', '17/18', '17/18', '14/15', '13/14'], 'transfer_date': ['Jul 1, 2022', 'May 31, 2022', 'Jan 31, 2022', 'Jul 1, 2019', 'May 31, 2018', 'Jan 22, 2018', 'Jul 1, 2014', 'Jul 1, 2013'], 'leaving_club': ['Aston Villa', 'Newcastle', 'Aston Villa', 'Southampton', 'Fulham', 'Southampton', 'Southampton U21', 'Southampton U18'], 'joining_club': ['Newcastle', 'Aston Villa', 'Newcastle', 'Aston Villa', 'Southampton', 'Fulham', 'Southampton', 'Southampton U21'], 'market_value': ['€17.00m', '€17.00m', '€17.00m', '€7.00m', '€3.00m', '€3.00m', '-', '-'], 'fee': ['€17.50m', 'End of loan', 'loan transfer', '€15.50m', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Southampton FC', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Aston Villa'], 'market_value': ['Є250Th.', 'Є750Th.', 'Є2.00m', 'Є3.00m', 'Є3.00m', 'Є3.00m', 'Є3.00m', 'Є3.00m', 'Є7.00m', 'Є7.00m', 'Є7.00m', 'Є10.00m', 'Є13.00m', 'Є10.50m', 'Є10.50m', 'Є17.00m', 'Є17.00m', 'Є17.00m', 'Є17.00m'], 'age': ['19', '19', '19', '20', '20', '21', '21', '22', '22', '23', '23', '23', '24', '24', '25', '25', '25', '26', '26'], 'date': ['Nov 9', 'Feb 12', 'Jul 1', 'Feb 9', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'Aug 13', 'Dec 19', 'Jun 13', 'Sep 12', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#5,Fabian,Schär,8,72,Centre-Back,,€9.00m,€16.00m,"Dec 10, 2019","Dec 20, 1991",Wil,Switzerland,186,Switzerland,right,Newcastle United,"Jul 26, 2018","Jun 30, 2024","Apr 29, 2022","{'season': ['18/19', '17/18', '15/16', '12/13', '09/10', '07/08'], 'transfer_date': ['Jul 26, 2018', 'Jul 21, 2017', 'Jul 1, 2015', 'Jul 4, 2012', 'Jan 1, 2010', 'Jul 1, 2007'], 'leaving_club': ['Dep. La Coruña', 'TSG Hoffenheim', 'FC Basel', 'FC Wil 1900', 'FC Wil II', 'FC Wil Yth.'], 'joining_club': ['Newcastle', 'Dep. La Coruña', 'TSG Hoffenheim', 'FC Basel', 'FC Wil 1900', 'FC Wil II'], 'market_value': ['€3.00m', '€2.50m', '€8.00m', '€500Th.', '-', '-'], 'fee': ['€4.00m', '€3.00m', '€4.00m', '?', '-', '-']}","{'club': ['FC Wil 1900', 'FC Wil 1900', 'FC Wil 1900', 'FC Wil 1900', 'FC Wil 1900', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'FC Basel 1893', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'Deportivo de La Coruu00F1a', 'Deportivo de La Coruu00F1a', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є50Th.', 'Є250Th.', 'Є300Th.', 'Є350Th.', 'Є500Th.', 'Є900Th.', 'Є2.50m', 'Є5.00m', 'Є5.00m', 'Є6.00m', 'Є8.00m', 'Є8.00m', 'Є8.00m', 'Є4.50m', 'Є4.00m', 'Є4.00m', 'Є4.50m', 'Є3.50m', 'Є2.50m', 'Є3.00m', 'Є3.00m', 'Є4.00m', 'Є7.00m', 'Є8.00m', 'Є12.00m', 'Є16.00m', 'Є13.00m', 'Є13.00m', 'Є12.00m', 'Є9.00m', 'Є7.00m', 'Є7.00m', 'Є9.00m'], 'age': ['18', '19', '19', '20', '20', '21', '21', '21', '21', '21', '22', '22', '23', '23', '24', '24', '24', '25', '25', '26', '26', '26', '27', '27', '27', '27', '28', '28', '29', '29', '30', '30', '30'], 'date': ['Jan 12', 'Jan 17', 'Jun 15', 'Jan 10', 'Jun 21', 'Jan 5', 'Apr 14', 'Apr 26', 'Jun 17', 'Nov 26', 'Feb 14', 'Sep 12', 'Jun 18', 'Oct 16', 'Feb 15', 'Jun 1', 'Jul 22', 'Feb 7', 'Jun 19', 'Jan 1', 'May 30', 'Dec 19', 'Mar 5', 'Jun 13', 'Sep 12', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'May 25', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2010', '2011', '2011', '2012', '2012', '2013', '2013', '2013', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#6,Jamaal,Lascelles,0,2,Centre-Back,,€10.00m,€18.00m,"Sep 12, 2019","Nov 11, 1993",Derby,England,188,"England,Barbados",right,Newcastle United,"Aug 9, 2014","Jun 30, 2024","Nov 1, 2018","{'season': ['14/15', '14/15', '14/15', '11/12', '11/12', '11/12'], 'transfer_date': ['May 31, 2015', 'Aug 10, 2014', 'Aug 9, 2014', 'May 31, 2012', 'Mar 9, 2012', 'Jul 1, 2011'], 'leaving_club': ['Nottm Forest', 'Newcastle', 'Nottm Forest', 'Stevenage', 'Nottm Forest', 'Nottingham U18'], 'joining_club': ['Newcastle', 'Nottm Forest', 'Newcastle', 'Nottm Forest', 'Stevenage', 'Nottm Forest'], 'market_value': ['€3.00m', '€600Th.', '€600Th.', '€500Th.', '€500Th.', '-'], 'fee': ['End of loan', 'loan transfer', '€5.00m', 'End of loan', 'loan transfer', '-']}","{'club': ['Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є50Th.', 'Є500Th.', 'Є500Th.', 'Є500Th.', 'Є600Th.', 'Є3.00m', 'Є3.00m', 'Є4.00m', 'Є3.00m', 'Є4.00m', 'Є4.50m', 'Є5.00m', 'Є7.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є18.00m', 'Є18.00m', 'Є14.50m', 'Є14.50m', 'Є13.00m', 'Є13.00m', 'Є11.00m', 'Є10.00m'], 'age': ['17', '18', '19', '19', '20', '20', '21', '21', '22', '22', '23', '23', '24', '24', '25', '25', '25', '26', '26', '26', '27', '27', '28', '28'], 'date': ['Aug 15', 'Feb 7', 'Mar 2', 'Jul 12', 'Jan 8', 'Aug 19', 'Feb 24', 'Jul 1', 'Feb 9', 'Sep 1', 'Feb 27', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Sep 12', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2011', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#33,Dan,Burn,0,0,Centre-Back,,€12.00m,€12.00m,"Jun 15, 2022","May 9, 1992",Blyth,England,201,England,left,Newcastle United,"Jan 31, 2022","Jun 30, 2024",unknown,"{'season': ['21/22', '18/19', '18/19', '18/19', '16/17', '13/14', '13/14', '12/13', '12/13', '11/12', '09/10', '08/09'], 'transfer_date': ['Jan 31, 2022', 'Jan 1, 2019', 'Aug 10, 2018', 'Aug 9, 2018', 'Jul 1, 2016', 'Jan 2, 2014', 'Jul 3, 2013', 'May 20, 2013', 'Sep 25, 2012', 'Jul 1, 2011', 'Jul 1, 2009', 'Jan 1, 2009'], 'leaving_club': ['Brighton', 'Wigan', 'Brighton', 'Wigan', 'Fulham', 'Birmingham', 'Fulham', 'Yeovil Town', 'Fulham', 'Darlington', 'Darlington U18', 'Blyth Spartans'], 'joining_club': ['Newcastle', 'Brighton', 'Wigan', 'Brighton', 'Wigan', 'Fulham', 'Birmingham', 'Fulham', 'Yeovil Town', 'Fulham', 'Darlington', 'Darlington U18'], 'market_value': ['€3.50m', '€3.00m', '€750Th.', '€750Th.', '€750Th.', '€300Th.', '-', '-', '-', '€25Th.', '-', '-'], 'fee': ['€15.00m', 'End of loan', 'loan transfer', '€3.55m', 'free transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '?', '-', '?']}","{'club': ['Darlington FC x28x2D 2012x29', 'Fulham FC', 'Birmingham City', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Fulham FC', 'Wigan Athletic', 'Wigan Athletic', 'Wigan Athletic', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Brighton x26 Hove Albion', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є25Th.', 'x2D', 'Є300Th.', 'Є500Th.', 'Є500Th.', 'Є500Th.', 'Є500Th.', 'Є750Th.', 'Є750Th.', 'Є750Th.', 'Є3.00m', 'Є3.00m', 'Є5.00m', 'Є4.00m', 'Є5.00m', 'Є5.00m', 'Є5.00m', 'Є3.50m', 'Є7.00m', 'Є12.00m'], 'age': ['17', '19', '21', '21', '22', '22', '23', '23', '24', '24', '26', '27', '27', '27', '28', '28', '29', '29', '29', '30'], 'date': ['Apr 8', 'Sep 6', 'Jul 12', 'Jan 15', 'Aug 25', 'Feb 24', 'Sep 24', 'Apr 20', 'Sep 1', 'Feb 27', 'Sep 24', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Mar 29', 'Jun 15'], 'year': ['2010', '2011', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#4,Sven,Botman,2,12,Centre-Back,,€35.00m,€35.00m,"Sep 15, 2022","Jan 12, 2000",Badhoevedorp,Netherlands,195,Netherlands,left,Newcastle United,"Jul 1, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '20/21', '19/20', '19/20', '18/19', '17/18', '15/16', '09/10'], 'transfer_date': ['Jul 1, 2022', 'Jul 31, 2020', 'Jun 30, 2020', 'Jul 27, 2019', 'Jul 1, 2018', 'Jul 1, 2017', 'Jul 1, 2015', 'Jul 1, 2009'], 'leaving_club': ['LOSC Lille', 'Ajax U21', 'Heerenveen', 'Ajax U21', 'Ajax U19', 'Ajax U17', 'Ajax Youth', 'Pancratius Yth.'], 'joining_club': ['Newcastle', 'LOSC Lille', 'Ajax U21', 'Heerenveen', 'Ajax U21', 'Ajax U19', 'Ajax U17', 'Ajax Youth'], 'market_value': ['€30.00m', '€1.30m', '€1.30m', '€300Th.', '-', '-', '-', '-'], 'fee': ['€37.00m', '€8.00m', 'End of loan', 'loan transfer', '-', '-', '-', 'free transfer']}","{'club': ['Ajax Amsterdam U21', 'Ajax Amsterdam U21', 'SC Heerenveen', 'SC Heerenveen', 'SC Heerenveen', 'SC Heerenveen', 'LOSC Lille', 'LOSC Lille', 'LOSC Lille', 'LOSC Lille', 'LOSC Lille', 'LOSC Lille', 'LOSC Lille', 'Newcastle United'], 'market_value': ['Є300Th.', 'Є300Th.', 'Є600Th.', 'Є1.25m', 'Є1.50m', 'Є1.30m', 'Є6.00m', 'Є10.00m', 'Є25.00m', 'Є28.00m', 'Є28.00m', 'Є30.00m', 'Є30.00m', 'Є35.00m'], 'age': ['19', '19', '19', '19', '20', '20', '20', '20', '20', '21', '21', '21', '22', '22'], 'date': ['Jan 21', 'Jul 3', 'Sep 19', 'Dec 18', 'Mar 12', 'Apr 8', 'Aug 3', 'Oct 15', 'Jan 7', 'Apr 9', 'Jun 4', 'Dec 16', 'May 30', 'Sep 15'], 'year': ['2019', '2019', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022']}"
#29,Mark,Gillespie,0,0,Goalkeeper,,€300Th.,€500Th.,"Feb 5, 2020","Mar 27, 1992",Newcastle upon Tyne,England,191,England,right,Newcastle United,"Jul 3, 2020","Jun 30, 2023",unknown,"{'season': ['20/21', '18/19', '17/18', '10/11', '10/11', '10/11'], 'transfer_date': ['Jul 3, 2020', 'Jul 1, 2018', 'Jul 1, 2017', 'Jan 16, 2011', 'Oct 15, 2010', 'Jul 1, 2010'], 'leaving_club': ['Motherwell FC', 'Walsall', 'Carlisle United', 'Blyth Spartans', 'Carlisle United', 'Carlisle U18'], 'joining_club': ['Newcastle', 'Motherwell FC', 'Walsall', 'Carlisle United', 'Blyth Spartans', 'Carlisle United'], 'market_value': ['€400Th.', '€75Th.', '€75Th.', '€50Th.', '€50Th.', '-'], 'fee': ['free transfer', '?', 'free transfer', 'End of loan', 'loan transfer', '-']}","{'club': ['Carlisle United', 'Carlisle United', 'Carlisle United', 'Motherwell FC', 'Motherwell FC', 'Motherwell FC', 'Motherwell FC', 'Motherwell FC', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є50Th.', 'Є75Th.', 'Є75Th.', 'Є225Th.', 'Є225Th.', 'Є300Th.', 'Є500Th.', 'Є400Th.', 'Є400Th.', 'Є400Th.', 'Є400Th.', 'Є400Th.', 'Є300Th.'], 'age': ['18', '21', '24', '26', '26', '27', '27', '28', '28', '28', '29', '29', '30'], 'date': ['Jul 30', 'Jan 20', 'Aug 5', 'Aug 8', 'Jan 3', 'Aug 20', 'Feb 5', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2010', '2014', '2016', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#18,Loris,Karius,0,1,Goalkeeper,,€1.50m,€12.00m,"May 28, 2018","Jun 22, 1993",Biberach an der Riß,Germany,191,Germany,right,Newcastle United,"Sep 12, 2022","Dec 31, 2022",unknown,"{'season': ['22/23', '22/23', '20/21', '20/21', '19/20', '18/19', '16/17', '11/12', '11/12', '11/12', '10/11', '09/10', '08/09', '05/06', '01/02'], 'transfer_date': ['Sep 12, 2022', 'Jul 1, 2022', 'Jun 30, 2021', 'Sep 28, 2020', 'May 4, 2020', 'Aug 28, 2018', 'Jul 1, 2016', 'Jan 1, 2012', 'Dec 31, 2011', 'Aug 28, 2011', 'Jul 1, 2010', 'Jul 1, 2009', 'Jul 1, 2008', 'Jul 1, 2005', 'Jul 1, 2001'], 'leaving_club': ['Without Club', 'Liverpool', 'Union Berlin', 'Liverpool', 'Besiktas', 'Liverpool', '1.FSV Mainz 05', 'Man City Res.', '1.FSV Mainz 05', 'Man City Res.', 'Man City U18', 'Stuttgart U17', 'Stuttgart Yth.', 'SSV Ulm 1846 Yo', 'Mettenberg Yth.'], 'joining_club': ['Newcastle', 'Without Club', 'Liverpool', 'Union Berlin', 'Liverpool', 'Besiktas', 'Liverpool', '1.FSV Mainz 05', 'Man City Res.', '1.FSV Mainz 05', 'Man City Res.', 'Man City U18', 'Stuttgart U17', 'Stuttgart Yth.', 'SSV Ulm 1846 Yo'], 'market_value': ['€1.50m', '€1.50m', '€2.00m', '€3.20m', '€3.20m', '€12.00m', '€7.00m', '€200Th.', '€200Th.', '-', '-', '-', '-', '-', '-'], 'fee': ['-', '-', 'End of loan', 'loan transfer', 'End of loan', 'Loan fee:', '', '€6.20m', 'free transfer', 'End of loan', 'loan transfer', '-', '€225Th.', '-', 'free transfer', 'free transfer']}","{'club': ['1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', '1.FSV Mainz 05', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Besiktas JK', 'Besiktas JK', 'Besiktas JK', 'Besiktas JK', 'Besiktas JK', 'Besiktas JK', '1.FC Union Berlin', '1.FC Union Berlin', '1.FC Union Berlin', 'Liverpool FC', 'Liverpool FC'], 'market_value': ['Є200Th.', 'Є200Th.', 'Є200Th.', 'Є200Th.', 'Є200Th.', 'Є1.00m', 'Є3.00m', 'Є5.00m', 'Є5.00m', 'Є5.00m', 'Є7.00m', 'Є9.00m', 'Є8.00m', 'Є8.00m', 'Є8.00m', 'Є12.00m', 'Є9.50m', 'Є7.00m', 'Є5.00m', 'Є5.00m', 'Є4.00m', 'Є3.20m', 'Є2.00m', 'Є2.00m', 'Є2.00m', 'Є1.50m', 'Є1.50m'], 'age': ['18', '18', '19', '19', '20', '20', '21', '21', '21', '22', '22', '23', '23', '24', '24', '24', '25', '25', '25', '26', '26', '26', '27', '27', '27', '28', '28'], 'date': ['Sep 1', 'Jan 23', 'Jun 29', 'Jan 13', 'Jun 30', 'Feb 12', 'Jul 10', 'Nov 3', 'Feb 4', 'Jul 1', 'Feb 15', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Jan 4', 'Mar 27', 'Jun 4', 'Jan 3', 'Mar 25', 'Apr 8', 'Nov 26', 'Feb 10', 'Jun 9', 'Dec 23', 'Jun 15'], 'year': ['2011', '2012', '2012', '2013', '2013', '2014', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#26,Karl,Darlow,0,0,Goalkeeper,,€2.50m,€4.50m,"Jun 28, 2017","Oct 8, 1990",Northampton,England,190,"England,Wales",right,Newcastle United,"Aug 9, 2014","Jun 30, 2025","Sep 11, 2020","{'season': ['14/15', '14/15', '14/15', '12/13', '12/13', '12/13', '12/13', '11/12', '11/12', '10/11', '08/09'], 'transfer_date': ['May 31, 2015', 'Aug 10, 2014', 'Aug 9, 2014', 'Jan 10, 2013', 'Jan 1, 2013', 'Oct 26, 2012', 'Sep 21, 2012', 'May 1, 2012', 'Mar 1, 2012', 'Jul 1, 2010', 'Jul 1, 2008'], 'leaving_club': ['Nottm Forest', 'Newcastle', 'Nottm Forest', 'Walsall', 'Nottm Forest', 'Walsall', 'Nottm Forest', 'Newport County', 'Nottm Forest', 'Nottingham U21', 'Nottingham U18'], 'joining_club': ['Newcastle', 'Nottm Forest', 'Newcastle', 'Nottm Forest', 'Walsall', 'Nottm Forest', 'Walsall', 'Nottm Forest', 'Newport County', 'Nottm Forest', 'Nottingham U21'], 'market_value': ['€3.00m', '€1.00m', '€1.00m', '€50Th.', '€50Th.', '€50Th.', '€50Th.', '€50Th.', '€50Th.', '€50Th.', '-'], 'fee': ['End of loan', 'loan transfer', '€5.00m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Nottingham Forest U21', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є50Th.', 'Є250Th.', 'Є500Th.', 'Є1.00m', 'Є3.00m', 'Є3.00m', 'Є3.50m', 'Є2.50m', 'Є2.50m', 'Є3.00m', 'Є4.50m', 'Є4.50m', 'Є4.50m', 'Є3.50m', 'Є3.50m', 'Є3.00m', 'Є2.40m', 'Є2.40m', 'Є3.00m', 'Є3.00m', 'Є3.00m', 'Є3.00m', 'Є2.50m'], 'age': ['18', '22', '22', '23', '23', '24', '24', '25', '25', '26', '26', '27', '27', '28', '28', '29', '29', '30', '30', '30', '30', '31', '31'], 'date': ['Jul 2', 'Mar 2', 'Jul 12', 'Jan 8', 'Aug 19', 'Feb 24', 'Jul 1', 'Feb 9', 'Sep 1', 'Feb 27', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2009', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
